date,o,h,l,c,v,a
20180102,1731.92,1780.89,1731.92,1769.65,2269.17,2535090.381
20180103,1768.94,1800.18,1762.9,1781.71,2323.31,2618525.901
20180104,1787.9,1798.53,1775.81,1797.63,1783.15,1996838.912
20180105,1797.14,1894.27,1793.98,1861.2,4185.45,4301167.002
20180108,1879.77,1939.5,1879.77,1908.22,4229.01,4505507.84
20180109,1901.21,1930.85,1894.59,1914.71,3221.1,3072434.586
20180110,1915.2,1940.23,1894.92,1909.81,2786.97,2797158.4
20180111,1904.78,1909.54,1880.71,1906.81,2574.35,2542784.922
20180112,1903.86,1956.01,1903.11,1922.66,3670.55,3413569.741
20180115,1930.89,1956.03,1916.78,1929.59,3829.32,3856969.728
20180116,1918.03,2049.54,1918.03,2036.45,4517.58,4948798.259
20180117,2027.03,2041.08,1970.46,2004.41,4018.27,4660418.97
20180118,1999.23,2015.52,1983.78,1994.54,2478.33,2909816.013
20180119,1996.06,2037.62,1977.79,1981.08,2825.15,3289544.704
20180122,1973.14,1992.46,1964.47,1989.74,2113.24,2423699.046
20180123,1998.08,2053.25,1998.08,2036.22,2957.65,3767529.472
20180124,2031.72,2063.92,2016.2,2031.28,2643.46,3232959.078
20180125,2024.08,2024.08,1967.71,1998.66,2594.64,3248712.294
20180126,1993.23,2033.68,1987.33,2017.18,2625.12,3033227.878
20180129,2020.78,2038.99,1977.54,1994.68,2522.21,3046593.946
20180130,1988.5,1992.2,1948.39,1948.56,2386.42,2941786.317
20180131,1951.14,1988.14,1927.99,1968.5,2737.08,3324099.584
20180201,1971.31,1981.1,1930.96,1938.41,2909.96,3346242.15
20180202,1906.66,1938.91,1871.49,1932.57,2422.79,2900961.69
20180205,1906.33,1936.82,1900.9,1932.53,1875.37,2296488.755
20180206,1890.06,1897.42,1837.28,1842.41,2505.78,2945229.414
20180207,1875.09,1879.64,1743.73,1758.95,2849.56,3404474.573
20180208,1752.08,1774.17,1733.39,1750.39,1745.25,2091943.322
20180209,1701.62,1709.13,1632.94,1661.42,2463.27,2636925.747
20180212,1667.01,1696.57,1659.33,1689.82,1557.1,1744706.15
20180213,1704.14,1752.34,1704.04,1719.38,1704.04,1921037.312
20180214,1717.99,1730.51,1701.76,1726.99,1043.36,1095408.538
20180222,1749.28,1759.34,1741.08,1756.24,1592.76,1466563.686
20180223,1763.15,1796.87,1753.39,1780.29,1660.48,1722099.712
20180226,1789.01,1793.09,1731.11,1774.46,2098.39,2238402.355
20180227,1769.49,1769.61,1734.6,1740.08,1882.06,2029540.557
20180228,1723.74,1762,1709.97,1746.19,1769.55,1946484.736
20180301,1729.56,1756.11,1726.52,1740.44,1592.44,1673832.653
20180302,1725.11,1745.64,1715.14,1733.14,1423,1508727.194
20180305,1736.83,1757.49,1731.08,1735.23,1325.98,1489202.586
20180306,1740.89,1789.21,1726.32,1788.93,2136.65,2270912.922
20180307,1781.59,1795.13,1766.4,1769.46,1628.81,1773981.286
20180308,1770.53,1788.52,1764.44,1787.74,1570.29,1545327.923
20180309,1790.62,1792.19,1774.67,1786.04,1682.82,1627476.07
20180312,1786.94,1788.07,1748.4,1761.48,2171.41,2418608.333
20180313,1757.1,1767.75,1753.06,1754.98,1639.04,1503861.658
20180314,1750.81,1761.57,1742.63,1751.63,1559.68,1573071.155
20180315,1746.99,1759.92,1735.2,1744.51,1373.32,1422565.376
20180316,1743.15,1766.14,1743.15,1750.14,1376.73,1499104.768
20180319,1746.15,1746.15,1721.32,1722.01,1444.31,1537566.31
