date,o,h,l,c,v,a
2023-01-03 00:00:00,2980.28,3043.67,2967.22,3040.88,858.24,961349.9392
2023-01-04 00:00:00,3028.78,3029.85,2987.73,3001.42,717.65,843364.4032
2023-01-05 00:00:00,3017.66,3039.0,3005.12,3025.94,779.74,1013263.667
2023-01-06 00:00:00,3022.18,3061.3,3020.92,3048.63,731.8,945286.2464
2023-01-09 00:00:00,3078.65,3129.06,3069.26,3125.58,1214.83,1349934.899
2023-01-10 00:00:00,3122.86,3134.8,3103.15,3123.87,805.42,949936.5376
2023-01-11 00:00:00,3140.23,3192.67,3131.37,3174.0,956.79,1336808.653
2023-01-12 00:00:00,3188.73,3197.73,3173.32,3189.24,879.99,1132610.253
2023-01-13 00:00:00,3204.48,3236.39,3189.18,3206.76,817.83,992637.8496
2023-01-16 00:00:00,3215.56,3225.31,3189.07,3207.05,968.58,1163464.499
2023-01-17 00:00:00,3206.27,3209.48,3171.87,3194.28,798.81,990313.5744
2023-01-18 00:00:00,3197.45,3231.97,3196.77,3215.48,814.0,873183.0272
2023-01-19 00:00:00,3226.23,3237.06,3208.97,3237.04,697.13,856885.9648
2023-01-20 00:00:00,3250.83,3318.05,3250.83,3304.17,1287.11,1621809.971
2023-01-30 00:00:00,3340.33,3340.33,3272.18,3277.36,1748.92,2076797.3380000002
2023-01-31 00:00:00,3278.44,3311.88,3271.87,3296.8,1254.05,1340876.6979999999
2023-02-01 00:00:00,3306.54,3370.46,3305.3,3368.49,1752.62,1984244.122
2023-02-02 00:00:00,3365.84,3374.65,3333.55,3364.09,1234.34,1497106.9440000001
2023-02-03 00:00:00,3338.99,3338.99,3279.9,3309.25,1145.83,1370927.616
2023-02-06 00:00:00,3266.9,3268.11,3240.51,3260.96,1031.64,1175558.3490000002
2023-02-07 00:00:00,3274.62,3293.34,3262.09,3280.95,858.48,1006365.4909999999
2023-02-08 00:00:00,3289.1,3292.67,3250.89,3253.91,757.2,854195.2
2023-02-09 00:00:00,3244.33,3271.02,3236.58,3267.71,638.78,754271.4368
2023-02-10 00:00:00,3259.82,3259.82,3213.38,3222.06,728.17,918946.6112
2023-02-13 00:00:00,3209.38,3236.18,3192.93,3231.96,834.38,1019488.1540000001
2023-02-14 00:00:00,3241.18,3281.5,3235.47,3264.57,1086.41,1154538.291
2023-02-15 00:00:00,3261.43,3286.06,3232.41,3240.13,880.09,982018.9696
2023-02-16 00:00:00,3237.51,3253.96,3164.13,3184.08,1114.18,1167904.154
2023-02-17 00:00:00,3188.24,3231.86,3188.24,3196.08,902.51,1058159.4109999998
2023-02-20 00:00:00,3210.58,3280.52,3207.51,3279.28,1396.96,1489715.405
2023-02-21 00:00:00,3286.38,3360.39,3280.8,3348.57,1731.39,1978088.448
2023-02-22 00:00:00,3328.59,3352.78,3316.74,3327.21,928.55,1181611.622
2023-02-23 00:00:00,3346.79,3360.16,3322.07,3337.95,946.74,1310178.304
2023-02-24 00:00:00,3325.66,3330.85,3275.75,3295.6,843.5,999311.6672
2023-02-27 00:00:00,3278.02,3308.97,3271.07,3279.57,793.1,999825.3056
2023-02-28 00:00:00,3286.61,3294.34,3256.87,3287.52,721.86,793836.6464
2023-03-01 00:00:00,3293.58,3346.72,3288.3,3343.29,1038.83,1114008.781
2023-03-02 00:00:00,3335.44,3366.87,3324.86,3344.76,1233.25,1458704.5890000002
2023-03-03 00:00:00,3347.65,3364.6,3325.97,3357.67,1335.14,1353531.392
0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-06 00:00:00,3362.09,3370.64,3303.83,3334.2,1260.58,1433080.73
2023-03-07 00:00:00,3338.99,3427.47,3332.7,3357.11,1995.78,2082680.218
2023-03-08 00:00:00,3321.64,3334.18,3297.15,3331.86,1243.08,1244914.278
2023-03-09 00:00:00,3342.13,3369.11,3313.83,3332.17,1048.57,1099785.626
2023-03-10 00:00:00,3313.83,3315.94,3270.35,3273.13,1034.94,1046759.6290000001
2023-03-13 00:00:00,3288.39,3364.87,3288.39,3364.62,1507.56,1487298.458
2023-03-03 00:00:00,3347.65,3364.6,3325.97,3357.67,1335.14,1353531.392
2023-03-14 00:00:00,3347.65,3364.6,3325.97,3357.67,1335.14,0.0
2023-03-15 00:00:00,3347.65,3364.6,3325.97,3357.67,1335.14,1353531.392
