date,open,high,low,close,volume,adjustedclose
20180102,3314.03,3349.05,3314.03,3348.33,20227.89,22778845.59
20180103,3347.74,3379.92,3345.29,3369.11,21383.61,25836652.13
20180104,3371,3392.83,3365.3,3385.71,20695.53,24309076.79
20180105,3386.46,3402.07,3380.25,3391.75,21306.07,24818784.67
20180108,3391.55,3412.73,3384.56,3409.48,23616.51,28621321.01
20180109,3406.11,3417.23,3403.59,3413.9,19148.86,23824996.76
20180110,3414.11,3430.21,3398.84,3421.83,20909.5,25451544.58
20180111,3415.58,3426.48,3405.64,3425.35,17381.21,21841413.73
20180112,3423.88,3435.42,3417.98,3428.94,17406.34,21596145.25
20180115,3428.95,3442.5,3402.31,3410.49,23200.93,28636273.05
20180116,3403.47,3437.58,3401.96,3436.59,21147.55,26657882.11
20180117,3438.58,3465.2,3430.51,3444.67,26104.5,31653268.68
20180118,3449.88,3476.55,3448.79,3474.75,22003.96,26769263.82
20180119,3481.62,3498.43,3474.29,3487.86,24753.67,29418907.24
20180122,3476.99,3503.39,3475.67,3501.36,21748.75,26129571.84
20180123,3504.34,3547.22,3504.34,3546.5,23870.59,28209188.04
20180124,3553.48,3569.49,3527.11,3559.47,25295.45,30762922.8
20180125,3555.17,3571.48,3528.03,3548.31,24341.34,28798953.06
20180126,3535.49,3574.9,3534.2,3558.13,22269.83,25814951.53
20180129,3563.64,3587.03,3510.27,3523,23602.7,28541701.32
20180130,3511.5,3523.05,3484.66,3488.01,18637,22468168.91
20180131,3470.51,3495.45,3454.73,3480.83,20725.34,24265795.17
20180201,3478.67,3495.09,3424.42,3446.98,26050.47,29288225.18
20180202,3419.22,3463.16,3388.86,3462.08,20812.06,23627875.94
20180205,3411.67,3487.72,3406.24,3487.5,21767.38,25219876.45
20180206,3418.01,3440.12,3364.22,3370.65,28055.55,31881854.98
20180207,3412.74,3425.54,3304.01,3309.26,26093.97,29526441.98
20180208,3281.05,3307.16,3225.71,3262.05,20126.25,22234868.94
20180209,3172.85,3180.11,3062.74,3129.85,25638.92,27209508.45
20180212,3128.37,3168.13,3113.61,3154.13,15331.08,17100318.31
20180213,3176.11,3219.22,3176.11,3184.96,15152.76,17204520.55
20180214,3188.25,3203.5,3171.38,3199.16,10032.28,11455220.12
20180222,3237.57,3269.92,3234.12,3268.56,13873.04,15730388.17
20180223,3275.43,3294.13,3258.49,3289.02,14579.04,15950251.62
20180226,3307.29,3335.99,3281.62,3329.57,18856.86,21333303.3
20180227,3328.67,3328.67,3284.63,3292.07,17421.94,20439438.13
20180228,3264.06,3277.83,3239.84,3259.41,15104.35,18023381.4
20180301,3235.09,3280.15,3228.58,3273.75,15909.83,18527777.59
20180302,3248.45,3269.94,3242.27,3254.53,15086.11,17860299.98
